Date	Strain	Species	Genotype	Buffer	Dilutions	Total	Large 	Small
5/6/24	yH181	Cg	wt	saline	1000	123	123	0
5/6/24	yH181	Cg	wt	sc	1000	146	146	0
5/6/24	yH181	Cg	wt	PBS	1000	114	114	0
5/6/24	yH181	Cg	wt	water	1000	144	144	0
5/7/24	yH181	Cg	wt	saline	1000	138	138	0
5/7/24	yH181	Cg	wt	sc	1000	148	148	0
5/7/24	yH181	Cg	wt	PBS	1000	158	158	0
5/7/24	yH181	Cg	wt	water	1000	146	146	0
5/8/24	yH181	Cg	wt	saline	1000	115	115	0
5/8/24	yH181	Cg	wt	sc	1000	105	105	0
5/8/24	yH181	Cg	wt	PBS	1000	159	159	0
5/8/24	yH181	Cg	wt	water	1000	132	132	0
