buffer	name	date	treatment	n_root	n_cells	n_singlet	n_unstained	n_dead_like	p_dead_like	p_unstained
PBS	0108pb_0_b	2024-01-08	0	30000	29908	18676	3198	5993	0.32089312486613836	0.17123581066609553
PBS	0108pb_10_b	2024-01-08	10	21577	21215	13098	482	700	0.053443273782256835	0.036799511375782565
PBS	0108pb_100_b	2024-01-08	100	16553	16479	10554	2446	903	0.08555997725980671	0.2317604699639947
PBS	0108pb_1000_b	2024-01-08	1000	12218	12150	7914	0	7902	0.9984836997725549	0
Saline	0108sa_0_b	2024-01-08	0	30000	29860	18094	1383	376	0.020780369183154637	0.07643417707527357
Saline	0108sa_10_b	2024-01-08	10	19504	19271	11450	304	403	0.03519650655021834	0.026550218340611352
Saline	0108sa_100_b	2024-01-08	100	12187	12107	7800	1979	423	0.05423076923076923	0.2537179487179487
Saline	0108sa_1000_b	2024-01-08	1000	9218	9161	6056	3	6048	0.9986789960369881	4.953764861294584e-4
SD media	0108sc_0_b	2024-01-08	0	30000	29796	12706	5934	179	0.014087832520069258	0.4670234534865418
SD media	0108sc_10_b	2024-01-08	10	17261	16815	6281	1065	207	0.03295653558350581	0.16955898742238498
SD media	0108sc_100_b	2024-01-08	100	12369	12036	5707	1866	310	0.054319257052742244	0.3269668827755388
SD media	0108sc_1000_b	2024-01-08	1000	9074	8670	4470	3	4459	0.9975391498881432	6.711409395973154e-4
ddH2O	0108w_0_b	2024-01-08	0	30000	29766	18114	11	9453	0.5218615435574694	6.072650988185933e-4
ddH2O	0108w_10_b	2024-01-08	10	12572	12302	7641	4	6369	0.8335296427169219	5.234916895694281e-4
ddH2O	0108w_100_b	2024-01-08	100	7223	7182	4426	72	2882	0.6511522819701763	0.016267510167193855
ddH2O	0108w_1000_b	2024-01-08	1000	6775	6711	4245	1	4230	0.9964664310954063	2.3557126030624264e-4
PBS	0109pb_0_b	2024-01-09	0	30000	29723	18511	1114	5720	0.3090054562152234	0.060180433255901895
PBS	0109pb_10_b	2024-01-09	10	11109	10885	6763	105	285	0.042141061659027056	0.015525654295431022
PBS	0109pb_100_b	2024-01-09	100	13015	12910	8139	274	341	0.04189703894827374	0.033665069418847525
PBS	0109pb_1000_b	2024-01-09	1000	9548	9401	5978	2	5946	0.9946470391435263	3.3456005352960856e-4
Saline	0109sa_0_b	2024-01-09	0	30000	29616	18777	149	708	0.03770570378654737	0.007935239921180167
Saline	0109sa_10_b	2024-01-09	10	15265	14547	8921	74	1396	0.156484699024773	0.008295034188992266
Saline	0109sa_100_b	2024-01-09	100	12739	12512	7860	200	821	0.1044529262086514	0.02544529262086514
Saline	0109sa_1000_b	2024-01-09	1000	11647	10604	6759	5	6647	0.9834295014055333	7.397544015386891e-4
SD media	0109sc_0_b	2024-01-09	0	30000	29496	11709	3562	127	0.010846357502775643	0.3042104364164318
SD media	0109sc_10_b	2024-01-09	10	15216	13872	4975	535	104	0.020904522613065326	0.10753768844221105
SD media	0109sc_100_b	2024-01-09	100	15277	14663	8558	570	185	0.021617200280439355	0.06660434681000234
SD media	0109sc_1000_b	2024-01-09	1000	12946	11972	5705	7	5662	0.9924627519719544	0.001226993865030675
ddH2O	0109w_0_b	2024-01-09	0	30000	29713	19950	56	12599	0.6315288220551378	0.002807017543859649
ddH2O	0109w_10_b	2024-01-09	10	10613	10350	6716	8	3167	0.47156045265038715	0.0011911852293031567
ddH2O	0109w_100_b	2024-01-09	100	8884	8677	5555	42	3082	0.5548154815481549	0.007560756075607561
ddH2O	0109w_1000_b	2024-01-09	1000	7259	6614	3738	4	3699	0.9895666131621188	0.001070090957731407
PBS	0110pb_0_b	2024-01-10	0	30000	29678	19233	1210	3004	0.15618988197369105	0.06291270212655332
PBS	0110pb_10_b	2024-01-10	10	12996	12648	7345	273	185	0.02518720217835262	0.037168141592920353
PBS	0110pb_100_b	2024-01-10	100	12292	12127	7526	138	600	0.07972362476747276	0.018336433696518734
PBS	0110pb_1000_b	2024-01-10	1000	13329	12667	7874	16	7805	0.991236982473965	0.002032004064008128
Saline	0110sa_0_b	2024-01-10	0	30000	29362	18220	386	1788	0.09813391877058178	0.021185510428100986
Saline	0110sa_10_b	2024-01-10	10	14779	14445	8490	126	631	0.07432273262661955	0.014840989399293287
Saline	0110sa_100_b	2024-01-10	100	14989	14525	8671	137	1449	0.16710875331564987	0.015799792411486564
Saline	0110sa_1000_b	2024-01-10	1000	22086	20508	12363	41	12236	0.9897274124403462	0.0033163471649276066
SD media	0110sc_0_b	2024-01-10	0	30000	29573	12325	4818	110	0.008924949290060852	0.3909127789046653
SD media	0110sc_10_b	2024-01-10	10	15050	14257	5419	648	82	0.015131943162945192	0.11957925816571323
SD media	0110sc_100_b	2024-01-10	100	13320	12646	5994	214	83	0.01384718051384718	0.03570236903570237
SD media	0110sc_1000_b	2024-01-10	1000	30000	28992	16497	4	16484	0.9992119779353822	2.4246832757471054e-4
ddH2O	0110w_0_b	2024-01-10	0	30000	29100	17988	40	10639	0.591449855459195	0.0022237046920169003
ddH2O	0110w_10_b	2024-01-10	10	11721	10957	6713	17	3499	0.5212274690898258	0.0025323998212423656
ddH2O	0110w_100_b	2024-01-10	100	11188	10338	6415	19	3644	0.5680436477007015	0.0029618082618862044
ddH2O	0110w_1000_b	2024-01-10	1000	13293	12182	7066	2	7047	0.9973110670818002	2.830455703368242e-4
