Date	Treatment	Dye	Dilution	pop	count	Fungalight Green-H	Fungalight Red-H	sample
2023-11-20	0	PI	1000	singlet	15889	72	59	112023_dilutions_Experiment_Plate_0_1000_p.fcs
2023-11-20	0	PI	1000	PI-positive	48	64	1022.5	112023_dilutions_Experiment_Plate_0_1000_p.fcs
2023-11-20	0	PI	1000	Intermediate	0	NA	NA	112023_dilutions_Experiment_Plate_0_1000_p.fcs
2023-11-20	0	PI	1000	unstained	12903	67	58	112023_dilutions_Experiment_Plate_0_1000_p.fcs
2023-11-20	0	SYTO9	1000	singlet	17262	434	63	112023_dilutions_Experiment_Plate_0_1000.fcs
2023-11-20	0	SYTO9	1000	PI-positive	0	NA	NA	112023_dilutions_Experiment_Plate_0_1000.fcs
2023-11-20	0	SYTO9	1000	Intermediate	76	39472.5	989	112023_dilutions_Experiment_Plate_0_1000.fcs
2023-11-20	0	SYTO9	1000	unstained	835	78	58	112023_dilutions_Experiment_Plate_0_1000.fcs
2023-11-20	0	PI	2000	singlet	15737	71	59	112023_dilutions_Experiment_Plate_0_2000_p.fcs
2023-11-20	0	PI	2000	PI-positive	36	68.5	1203.5	112023_dilutions_Experiment_Plate_0_2000_p.fcs
2023-11-20	0	PI	2000	Intermediate	0	NA	NA	112023_dilutions_Experiment_Plate_0_2000_p.fcs
2023-11-20	0	PI	2000	unstained	12795	67	58	112023_dilutions_Experiment_Plate_0_2000_p.fcs
2023-11-20	0	SYTO9	2000	singlet	18426	133	60	112023_dilutions_Experiment_Plate_0_2000.fcs
2023-11-20	0	SYTO9	2000	PI-positive	3	118	162	112023_dilutions_Experiment_Plate_0_2000.fcs
2023-11-20	0	SYTO9	2000	Intermediate	38	13330	315	112023_dilutions_Experiment_Plate_0_2000.fcs
2023-11-20	0	SYTO9	2000	unstained	5728	75	57	112023_dilutions_Experiment_Plate_0_2000.fcs
2023-11-20	0	PI	250	singlet	17403	72	62	112023_dilutions_Experiment_Plate_0_250_p.fcs
2023-11-20	0	PI	250	PI-positive	77	69	1193	112023_dilutions_Experiment_Plate_0_250_p.fcs
2023-11-20	0	PI	250	Intermediate	0	NA	NA	112023_dilutions_Experiment_Plate_0_250_p.fcs
2023-11-20	0	PI	250	unstained	13830	67	60	112023_dilutions_Experiment_Plate_0_250_p.fcs
2023-11-20	0	SYTO9	250	singlet	19395	7934	234	112023_dilutions_Experiment_Plate_0_250.fcs
2023-11-20	0	SYTO9	250	PI-positive	0	NA	NA	112023_dilutions_Experiment_Plate_0_250.fcs
2023-11-20	0	SYTO9	250	Intermediate	11241	14234	412	112023_dilutions_Experiment_Plate_0_250.fcs
2023-11-20	0	SYTO9	250	unstained	68	75	52	112023_dilutions_Experiment_Plate_0_250.fcs
2023-11-20	0	PI	500	singlet	16250	72	60	112023_dilutions_Experiment_Plate_0_500_p.fcs
2023-11-20	0	PI	500	PI-positive	61	69	1486	112023_dilutions_Experiment_Plate_0_500_p.fcs
2023-11-20	0	PI	500	Intermediate	0	NA	NA	112023_dilutions_Experiment_Plate_0_500_p.fcs
2023-11-20	0	PI	500	unstained	12984	67	58	112023_dilutions_Experiment_Plate_0_500_p.fcs
2023-11-20	0	SYTO9	500	singlet	19110	1194	73	112023_dilutions_Experiment_Plate_0_500.fcs
2023-11-20	0	SYTO9	500	PI-positive	0	NA	NA	112023_dilutions_Experiment_Plate_0_500.fcs
2023-11-20	0	SYTO9	500	Intermediate	425	4728	190	112023_dilutions_Experiment_Plate_0_500.fcs
2023-11-20	0	SYTO9	500	unstained	107	79	53	112023_dilutions_Experiment_Plate_0_500.fcs
2023-11-20	10	PI	1000	singlet	13159	74	60	112023_dilutions_Experiment_Plate_10_1000_p.fcs
2023-11-20	10	PI	1000	PI-positive	140	73	645	112023_dilutions_Experiment_Plate_10_1000_p.fcs
2023-11-20	10	PI	1000	Intermediate	0	NA	NA	112023_dilutions_Experiment_Plate_10_1000_p.fcs
2023-11-20	10	PI	1000	unstained	10165	69	59	112023_dilutions_Experiment_Plate_10_1000_p.fcs
2023-11-20	10	SYTO9	1000	singlet	12385	624	66	112023_dilutions_Experiment_Plate_10_1000.fcs
2023-11-20	10	SYTO9	1000	PI-positive	0	NA	NA	112023_dilutions_Experiment_Plate_10_1000.fcs
2023-11-20	10	SYTO9	1000	Intermediate	207	16997	430	112023_dilutions_Experiment_Plate_10_1000.fcs
2023-11-20	10	SYTO9	1000	unstained	1600	75	57	112023_dilutions_Experiment_Plate_10_1000.fcs
2023-11-20	10	PI	2000	singlet	11165	74	60	112023_dilutions_Experiment_Plate_10_2000_p.fcs
2023-11-20	10	PI	2000	PI-positive	108	69	921	112023_dilutions_Experiment_Plate_10_2000_p.fcs
2023-11-20	10	PI	2000	Intermediate	0	NA	NA	112023_dilutions_Experiment_Plate_10_2000_p.fcs
2023-11-20	10	PI	2000	unstained	8688	68	58	112023_dilutions_Experiment_Plate_10_2000_p.fcs
2023-11-20	10	SYTO9	2000	singlet	12774	210	61	112023_dilutions_Experiment_Plate_10_2000.fcs
2023-11-20	10	SYTO9	2000	PI-positive	1	117	160	112023_dilutions_Experiment_Plate_10_2000.fcs
2023-11-20	10	SYTO9	2000	Intermediate	87	10420	266	112023_dilutions_Experiment_Plate_10_2000.fcs
2023-11-20	10	SYTO9	2000	unstained	3135	73	58	112023_dilutions_Experiment_Plate_10_2000.fcs
2023-11-20	10	PI	250	singlet	13620	74	62	112023_dilutions_Experiment_Plate_10_250_p.fcs
2023-11-20	10	PI	250	PI-positive	166	69.5	842.5	112023_dilutions_Experiment_Plate_10_250_p.fcs
2023-11-20	10	PI	250	Intermediate	0	NA	NA	112023_dilutions_Experiment_Plate_10_250_p.fcs
2023-11-20	10	PI	250	unstained	10361	68	60	112023_dilutions_Experiment_Plate_10_250_p.fcs
2023-11-20	10	SYTO9	250	singlet	12315	3172	119	112023_dilutions_Experiment_Plate_10_250.fcs
2023-11-20	10	SYTO9	250	PI-positive	0	NA	NA	112023_dilutions_Experiment_Plate_10_250.fcs
2023-11-20	10	SYTO9	250	Intermediate	4448	7277.5	236	112023_dilutions_Experiment_Plate_10_250.fcs
2023-11-20	10	SYTO9	250	unstained	220	77	56	112023_dilutions_Experiment_Plate_10_250.fcs
2023-11-20	10	PI	500	singlet	10792	75	60	112023_dilutions_Experiment_Plate_10_500_p.fcs
2023-11-20	10	PI	500	PI-positive	133	75	1044	112023_dilutions_Experiment_Plate_10_500_p.fcs
2023-11-20	10	PI	500	Intermediate	0	NA	NA	112023_dilutions_Experiment_Plate_10_500_p.fcs
2023-11-20	10	PI	500	unstained	8314	69	59	112023_dilutions_Experiment_Plate_10_500_p.fcs
2023-11-20	10	SYTO9	500	singlet	12925	1586	81	112023_dilutions_Experiment_Plate_10_500.fcs
2023-11-20	10	SYTO9	500	PI-positive	1	276	172	112023_dilutions_Experiment_Plate_10_500.fcs
