Date	Treatment	Group	Dilution	Raw_count	CFU	p_live
2024-04-05	0	MM	1000	77	77000	1
2024-04-05	100	MO	100	60	6000	0.07792207792207792
2024-04-05	250	MO	1	28	28	3.636363636363636e-4
2024-04-05	500	MO	1	1	1	1.2987012987012988e-5
2024-04-05	750	MO	1	1	1	1.2987012987012988e-5
2024-04-05	1000	MO	1	0	0	0
2024-04-08	0	MM	1000	46	46000	1
2024-04-08	100	MO	100	38	3800	0.08260869565217391
2024-04-08	250	MO	1	17	17	3.6956521739130437e-4
2024-04-08	500	MO	1	0	0	0
2024-04-08	750	MO	1	0	0	0
2024-04-08	1000	MO	1	0	0	0
2024-04-10	0	MM	1000	101	101000	1
2024-04-10	100	MO	100	34	3400	0.033663366336633666
2024-04-10	250	MO	1	9	9	8.91089108910891e-5
2024-04-10	500	MO	1	2	2	1.9801980198019803e-5
2024-04-10	750	MO	1	2	2	1.9801980198019803e-5
2024-04-10	1000	MO	1	0	0	0
