Date	Treatment	Group	Dilution	Raw_count	CFU	p_live
2024-02-14	0	MM	1000	83	83000	1
2024-02-14	10	MO	1000	89	89000	1.072289156626506
2024-02-14	100	MO	1000	5	5000	0.060240963855421686
2024-02-14	1000	MO	1000	0	0	0
2024-02-16	0	MM	1000	84	84000	1
2024-02-16	10	MO	1000	65	65000	0.7738095238095238
2024-02-16	100	MO	1000	6	6000	0.07142857142857142
2024-02-16	1000	MO	1000	0	0	0
2024-02-17	0	MM	1000	71	71000	1
2024-02-17	10	MO	1000	51	51000	0.7183098591549296
2024-02-17	100	MO	1000	9	9000	0.1267605633802817
2024-02-17	1000	MO	1000	0	0	0
