# Group: MO = oxidatively stressed; MM = mock treated
# Dilution: fold dilution
# Total: total number of colonies
# Large/Small: number of large and small colonies, should add up to Total
Date	Strain	Species	Genotype	H2O2_mM	Group	Dilutions	Total	Large	Small
20240225	yH154	Sc	wt	0	MM	1000	46	46	0
20240225	yH154	Sc	wt	0.6	MO	100	45	41	4
20240225	yH154	Sc	wt	6	MO	10	82	71	11
20240225	yH154	Sc	wt	1000	MO	100	0	0	0
20240226	yH154	Sc	wt	0	MM	1000	64	64	0
20240226	yH154	Sc	wt	0.6	MO	100	143	143	2
20240226	yH154	Sc	wt	6	MO	10	131	131	29
20240226	yH154	Sc	wt	1000	MO	100	0	0	0
20240228	yH154	Sc	wt	0	MM	1000	74	70	4
20240228	yH154	Sc	wt	0.6	MO	100	288	252	36
20240228	yH154	Sc	wt	6	MO	10	420	309	111
20240228	yH154	Sc	wt	1000	MO	100	0	0	0
20240318	yH714	Ca	wt	0	MM	1000	82	82	0
20240318	yH714	Ca	wt	0.6	MO	100	139	139	0
20240318	yH714	Ca	wt	6	MO	1	15	15	0
20240318	yH714	Ca	wt	1000	MO	10	0	0	0
20240320	yH714	Ca	wt	0	MM	1000	65	65	0
20240320	yH714	Ca	wt	0.6	MO	100	309	309	0
20240320	yH714	Ca	wt	6	MO	1	17	17	0
20240320	yH714	Ca	wt	1000	MO	10	0	0	0
20240323	yH714	Ca	wt	0	MM	1000	59	59	0
20240323	yH714	Ca	wt	0.6	MO	100	101	101	0
20240323	yH714	Ca	wt	6	MO	1	6	6	0
20240323	yH714	Ca	wt	1000	MO	10	0	0	0
