Date	Species	Treatment	Dye	name
022524	S. cerevisiae	0	Both	022524_S. cerevisiae_0mM_Both
022524	S. cerevisiae	0	PI	022524_S. cerevisiae_0mM_PI
022524	S. cerevisiae	0.6	Both	022524_S. cerevisiae_0.6mM_Both
022524	S. cerevisiae	0.6	PI	022524_S. cerevisiae_0.6mM_PI
022524	S. cerevisiae	1000	Both	022524_S. cerevisiae_1M_Both
022524	S. cerevisiae	1000	PI	022524_S. cerevisiae_1M_PI
022524	S. cerevisiae	5C	Both	022524_S. cerevisiae_5CmM_Both
022524	S. cerevisiae	5C	PI	022524_S. cerevisiae_5CmM_PI
022524	S. cerevisiae	6	Both	022524_S. cerevisiae_6mM_Both
022524	S. cerevisiae	6	PI	022524_S. cerevisiae_6mM_PI
022624	S. cerevisiae	0	Both	022624_S. cerevisiae_0mM_Both
022624	S. cerevisiae	0	PI	022624_S. cerevisiae_0mM_PI
022624	S. cerevisiae	0.6	Both	022624_S. cerevisiae_0.6mM_Both
022624	S. cerevisiae	0.6	PI	022624_S. cerevisiae_0.6mM_PI
022624	S. cerevisiae	1000	Both	022624_S. cerevisiae_1M_Both
022624	S. cerevisiae	1000	PI	022624_S. cerevisiae_1M_PI
022624	S. cerevisiae	5C	Both	022624_S. cerevisiae_5CmM_Both
022624	S. cerevisiae	5C	PI	022624_S. cerevisiae_5CmM_PI
022624	S. cerevisiae	6	Both	022624_S. cerevisiae_6mM_Both
022624	S. cerevisiae	6	PI	022624_S. cerevisiae_6mM_PI
022824	S. cerevisiae	0	Both	022824_S. cerevisiae_0mM_Both
022824	S. cerevisiae	0	PI	022824_S. cerevisiae_0mM_PI
022824	S. cerevisiae	0.6	Both	022824_S. cerevisiae_0.6mM_Both
022824	S. cerevisiae	0.6	PI	022824_S. cerevisiae_0.6mM_PI
022824	S. cerevisiae	1000	Both	022824_S. cerevisiae_1M_Both
022824	S. cerevisiae	1000	PI	022824_S. cerevisiae_1M_PI
022824	S. cerevisiae	5C	Both	022824_S. cerevisiae_5CmM_Both
022824	S. cerevisiae	5C	PI	022824_S. cerevisiae_5CmM_PI
022824	S. cerevisiae	6	Both	022824_S. cerevisiae_6mM_Both
022824	S. cerevisiae	6	PI	022824_S. cerevisiae_6mM_PI
031824	C. albicans	0	Both	031824_C. albicans_0mM_Both
031824	C. albicans	0	PI	031824_C. albicans_0mM_PI
031824	C. albicans	0.6	Both	031824_C. albicans_0.6mM_Both
031824	C. albicans	0.6	PI	031824_C. albicans_0.6mM_PI
031824	C. albicans	1000	Both	031824_C. albicans_1M_Both
031824	C. albicans	1000	PI	031824_C. albicans_1M_PI
031824	C. albicans	6	Both	031824_C. albicans_6mM_Both
031824	C. albicans	6	PI	031824_C. albicans_6mM_PI
032024	C. albicans	0	Both	032024_C. albicans_0mM_Both
032024	C. albicans	0	PI	032024_C. albicans_0mM_PI
032024	C. albicans	0.6	Both	032024_C. albicans_0.6mM_Both
032024	C. albicans	0.6	PI	032024_C. albicans_0.6mM_PI
032024	C. albicans	1000	Both	032024_C. albicans_1M_Both
032024	C. albicans	1000	PI	032024_C. albicans_1M_PI
032024	C. albicans	6	Both	032024_C. albicans_6mM_Both
032024	C. albicans	6	PI	032024_C. albicans_6mM_PI
032324	C. albicans	0	Both	032324_C. albicans_0mM_Both
032324	C. albicans	0	PI	032324_C. albicans_0mM_PI
032324	C. albicans	0.6	Both	032324_C. albicans_0.6mM_Both
032324	C. albicans	0.6	PI	032324_C. albicans_0.6mM_PI
032324	C. albicans	1000	Both	032324_C. albicans_1M_Both
032324	C. albicans	1000	PI	032324_C. albicans_1M_PI
032324	C. albicans	6	Both	032324_C. albicans_6mM_Both
032324	C. albicans	6	PI	032324_C. albicans_6mM_PI
