Date	Treatment	Dye	name
031824	0	Both	031824_0mM_Both
031824	0	PI	031824_0mM_PI
031824	0.6	Both	031824_0.6mM_Both
031824	0.6	PI	031824_0.6mM_PI
031824	1000	Both	031824_1M_Both
031824	1000	PI	031824_1M_PI
031824	6	Both	031824_6mM_Both
031824	6	PI	031824_6mM_PI
032024	0	Both	032024_0mM_Both
032024	0	PI	032024_0mM_PI
032024	0.6	Both	032024_0.6mM_Both
032024	0.6	PI	032024_0.6mM_PI
032024	1000	Both	032024_1M_Both
032024	1000	PI	032024_1M_PI
032024	6	Both	032024_6mM_Both
032024	6	PI	032024_6mM_PI
032324	0	Both	032324_0mM_Both
032324	0	PI	032324_0mM_PI
032324	0.6	Both	032324_0.6mM_Both
032324	0.6	PI	032324_0.6mM_PI
032324	1000	Both	032324_1M_Both
032324	1000	PI	032324_1M_PI
032324	6	Both	032324_6mM_Both
032324	6	PI	032324_6mM_PI
