Date	Treatment	Dye	pop	count	Fungalight Green-H	Fungalight Red-H	sample
022524	0	Both	singlet	17040	1884	89	022524_0mM_Both
022524	0	Both	intermediate	713	6049	235	022524_0mM_Both
022524	0	Both	live	16239	1824	87	022524_0mM_Both
022524	0	PI	singlet	15949	82	59	022524_0mM_PI
022524	0	PI	intermediate	0	NA	NA	022524_0mM_PI
022524	0	PI	live	15869	82	59	022524_0mM_PI
022524	0.6	Both	singlet	16016	1058	77	022524_0.6mM_Both
022524	0.6	Both	intermediate	215	4488	227	022524_0.6mM_Both
022524	0.6	Both	live	15297	1018	75	022524_0.6mM_Both
022524	0.6	PI	singlet	15526	84	61	022524_0.6mM_PI
022524	0.6	PI	intermediate	0	NA	NA	022524_0.6mM_PI
022524	0.6	PI	live	15066	84	60	022524_0.6mM_PI
022524	1000	Both	singlet	17246	1909	1846.5	022524_1M_Both
022524	1000	Both	intermediate	3	3087	267	022524_1M_Both
022524	1000	Both	live	29	1192	96	022524_1M_Both
022524	1000	PI	singlet	17580	72	1368	022524_1M_PI
022524	1000	PI	intermediate	0	NA	NA	022524_1M_PI
022524	1000	PI	live	52	76.5	72	022524_1M_PI
022524	5C	Both	singlet	15853	1688	88	022524_5CmM_Both
022524	5C	Both	intermediate	122	4187.5	217.5	022524_5CmM_Both
022524	5C	Both	live	15200	1705	87	022524_5CmM_Both
022524	5C	PI	singlet	15678	86	61	022524_5CmM_PI
022524	5C	PI	intermediate	0	NA	NA	022524_5CmM_PI
022524	5C	PI	live	15226	85	60	022524_5CmM_PI
022524	6	Both	singlet	16496	3513.5	124	022524_6mM_Both
022524	6	Both	intermediate	2263	7012	239	022524_6mM_Both
022524	6	Both	live	14080	3215.5	113	022524_6mM_Both
022524	6	PI	singlet	16108	82	61	022524_6mM_PI
022524	6	PI	intermediate	0	NA	NA	022524_6mM_PI
022524	6	PI	live	15238	82	59	022524_6mM_PI
022624	0	Both	singlet	16913	2303	101	022624_0mM_Both
022624	0	Both	intermediate	1035	5778	229	022624_0mM_Both
022624	0	Both	live	15789	2223	97	022624_0mM_Both
022624	0	PI	singlet	16327	80	59	022624_0mM_PI
022624	0	PI	intermediate	0	NA	NA	022624_0mM_PI
022624	0	PI	live	16238	80	59	022624_0mM_PI
022624	0.6	Both	singlet	15501	1708	93	022624_0.6mM_Both
022624	0.6	Both	intermediate	297	4607	226	022624_0.6mM_Both
022624	0.6	Both	live	14982	1682	91	022624_0.6mM_Both
022624	0.6	PI	singlet	15341	86	60	022624_0.6mM_PI
022624	0.6	PI	intermediate	0	NA	NA	022624_0.6mM_PI
022624	0.6	PI	live	15109	86	60	022624_0.6mM_PI
022624	1000	Both	singlet	17982	2358.5	1792	022624_1M_Both
022624	1000	Both	intermediate	10	4076.5	404.5	022624_1M_Both
022624	1000	Both	live	15	2295	117	022624_1M_Both
022624	1000	PI	singlet	17101	71	1253	022624_1M_PI
022624	1000	PI	intermediate	0	NA	NA	022624_1M_PI
022624	1000	PI	live	36	83	106.5	022624_1M_PI
022624	5C	Both	singlet	16761	1953	95	022624_5CmM_Both
022624	5C	Both	intermediate	349	4529	224	022624_5CmM_Both
022624	5C	Both	live	16232	1933	94	022624_5CmM_Both
022624	5C	PI	singlet	16187	85	60	022624_5CmM_PI
022624	5C	PI	intermediate	0	NA	NA	022624_5CmM_PI
022624	5C	PI	live	16037	85	59	022624_5CmM_PI
022624	6	Both	singlet	15729	4340	153	022624_6mM_Both
022624	6	Both	intermediate	3706	6696	235.5	022624_6mM_Both
022624	6	Both	live	11827	3890	134	022624_6mM_Both
022624	6	PI	singlet	16612	79	60	022624_6mM_PI
022624	6	PI	intermediate	0	NA	NA	022624_6mM_PI
022624	6	PI	live	16022	80	59	022624_6mM_PI
022824	0	Both	singlet	14650	2352	106	022824_0mM_Both
022824	0	Both	intermediate	899	4911	226	022824_0mM_Both
022824	0	Both	live	13682	2283	103	022824_0mM_Both
022824	0	PI	singlet	14949	81	59	022824_0mM_PI
022824	0	PI	intermediate	0	NA	NA	022824_0mM_PI
022824	0	PI	live	14765	81	59	022824_0mM_PI
022824	0.6	Both	singlet	13082	1992	95	022824_0.6mM_Both
022824	0.6	Both	intermediate	294	4266.5	225.5	022824_0.6mM_Both
022824	0.6	Both	live	12726	1975	93	022824_0.6mM_Both
022824	0.6	PI	singlet	12354	92	60	022824_0.6mM_PI
022824	0.6	PI	intermediate	0	NA	NA	022824_0.6mM_PI
022824	0.6	PI	live	12149	92	59	022824_0.6mM_PI
022824	1000	Both	singlet	14528	3311.5	2037	022824_1M_Both
022824	1000	Both	intermediate	312	2316	258	022824_1M_Both
022824	1000	Both	live	163	1655	166	022824_1M_Both
022824	1000	PI	singlet	13836	75	1146.5	022824_1M_PI
022824	1000	PI	intermediate	0	NA	NA	022824_1M_PI
022824	1000	PI	live	299	80	76	022824_1M_PI
022824	5C	Both	singlet	13596	2253	107	022824_5CmM_Both
022824	5C	Both	intermediate	707	4468	222	022824_5CmM_Both
022824	5C	Both	live	12747	2205	104	022824_5CmM_Both
022824	5C	PI	singlet	13460	87	60	022824_5CmM_PI
022824	5C	PI	intermediate	0	NA	NA	022824_5CmM_PI
022824	5C	PI	live	13207	87	59	022824_5CmM_PI
022824	6	Both	singlet	13891	3852	140	022824_6mM_Both
022824	6	Both	intermediate	2898	6790	244	022824_6mM_Both
022824	6	Both	live	10887	3430	123	022824_6mM_Both
022824	6	PI	singlet	13308	80	59	022824_6mM_PI
