Date	Species	Treatment	Group	Dilution	Raw_count	CFU	p_live
022524	Sc	0	MM	1000	46	46000	1
022524	Sc	0.6	MO	100	45	4500	0.09782608695652174
022524	Sc	6	MO	10	82	820	0.017826086956521738
022524	Sc	1000	MO	100	0	0	0
022624	Sc	0	MM	1000	64	64000	1
022624	Sc	0.6	MO	100	143	14300	0.2234375
022624	Sc	6	MO	10	131	1310	0.02046875
022624	Sc	1000	MO	100	0	0	0
022824	Sc	0	MM	1000	74	74000	1
022824	Sc	0.6	MO	100	288	28800	0.3891891891891892
022824	Sc	6	MO	10	420	4200	0.05675675675675676
022824	Sc	1000	MO	100	0	0	0
031824	Ca	0	MM	1000	82	82000	1
031824	Ca	0.6	MO	100	139	13900	0.16951219512195123
031824	Ca	6	MO	1	15	15	1.8292682926829268e-4
031824	Ca	1000	MO	10	0	0	0
032024	Ca	0	MM	1000	65	65000	1
032024	Ca	0.6	MO	100	309	30900	0.4753846153846154
032024	Ca	6	MO	1	17	17	2.6153846153846154e-4
032024	Ca	1000	MO	10	0	0	0
032324	Ca	0	MM	1000	59	59000	1
032324	Ca	0.6	MO	100	101	10100	0.1711864406779661
032324	Ca	6	MO	1	6	6	1.0169491525423729e-4
032324	Ca	1000	MO	10	0	0	0
