Date	Treatment	Dye	total_event_count	p_live	p_intermediate	p_dead
031824	0	Both	16801	0.8985179453603952	0.09838700077376347	0.0030950538658413296
031824	0	PI	17670	0.9992642897566497	0	7.357102433502849e-4
031824	0.6	Both	11285	0.8714222419140452	0.12627381479840497	0.0023039432875498755
031824	0.6	PI	11321	0.9934634749580425	0	0.006536525041957453
031824	1000	Both	11492	0.05264531848242256	0.02392969021928298	0.9234249912982945
031824	1000	PI	11896	0.02269670477471419	0	0.9773032952252858
031824	6	Both	12884	0.5762185656628376	0.4045327538031667	0.0192486805339957
031824	6	PI	13147	0.9887426789381608	0	0.011257321061839187
032024	0	Both	17010	0.9651969429747208	0.027278071722516166	0.007524985302763028
032024	0	PI	17362	0.9900933072226702	0	0.009906692777329806
032024	0.6	Both	11674	0.9731882816515334	0.009251327736851122	0.017560390611615507
032024	0.6	PI	11665	0.9687955422203172	0	0.031204457779682837
032024	1000	Both	10942	0.03189544872966551	6.397367940047524e-4	0.9674648144763297
032024	1000	PI	8700	0.05758620689655172	0	0.9424137931034483
032024	6	Both	11839	0.9169693386265731	0.06199847960131768	0.021032181772109172
032024	6	PI	12085	0.9868431940422011	0	0.01315680595779889
032324	0	Both	15736	0.951067615658363	0.045373665480427046	0.0035587188612100015
032324	0	PI	16191	0.99765301710827	0	0.002346982891729965
032324	0.6	Both	11680	0.9809931506849315	0.009332191780821918	0.009674657534246546
032324	0.6	PI	11202	0.9923227995000893	0	0.007677200499910719
032324	1000	Both	12668	0.0011840858856962426	0	0.9988159141143037
032324	1000	PI	12763	0.00579800987228708	0	0.9942019901277129
032324	6	Both	12630	0.9227236737925574	0.03713380839271575	0.04014251781472687
032324	6	PI	12095	0.960644894584539	0	0.039355105415460945
