Date	Treatment	Dye	pop	count	Fungalight Green-H	Fungalight Red-H	sample
031824	0	Both	singlet	16801	8001	303	031824_0mM_Both
031824	0	Both	intermediate	1653	15892	572	031824_0mM_Both
031824	0	Both	live	15096	7542	288	031824_0mM_Both
031824	0	PI	singlet	17670	82	59	031824_0mM_PI
031824	0	PI	intermediate	0	NA	NA	031824_0mM_PI
031824	0	PI	live	17657	82	59	031824_0mM_PI
031824	0.6	Both	singlet	11285	5870	242	031824_0.6mM_Both
031824	0.6	Both	intermediate	1425	13928	593	031824_0.6mM_Both
031824	0.6	Both	live	9834	5281.5	214	031824_0.6mM_Both
031824	0.6	PI	singlet	11321	104	60	031824_0.6mM_PI
031824	0.6	PI	intermediate	0	NA	NA	031824_0.6mM_PI
031824	0.6	PI	live	11247	104	60	031824_0.6mM_PI
031824	1000	Both	singlet	11492	2355	2561	031824_1M_Both
031824	1000	Both	intermediate	275	5164	667	031824_1M_Both
031824	1000	Both	live	605	3082	380	031824_1M_Both
031824	1000	PI	singlet	11896	74	1986.5	031824_1M_PI
031824	1000	PI	intermediate	0	NA	NA	031824_1M_PI
031824	1000	PI	live	270	73	75.5	031824_1M_PI
031824	6	Both	singlet	12884	11786.5	455	031824_6mM_Both
031824	6	Both	intermediate	5212	17761.5	650	031824_6mM_Both
031824	6	Both	live	7424	8941.5	344	031824_6mM_Both
031824	6	PI	singlet	13147	83	60	031824_6mM_PI
031824	6	PI	intermediate	0	NA	NA	031824_6mM_PI
031824	6	PI	live	12999	83	60	031824_6mM_PI
032024	0	Both	singlet	17010	5227.5	224	032024_0mM_Both
032024	0	Both	intermediate	464	14958.5	565	032024_0mM_Both
032024	0	Both	live	16418	5155.5	219	032024_0mM_Both
032024	0	PI	singlet	17362	79	59	032024_0mM_PI
032024	0	PI	intermediate	0	NA	NA	032024_0mM_PI
032024	0	PI	live	17190	79	59	032024_0mM_PI
032024	0.6	Both	singlet	11674	4276.5	195	032024_0.6mM_Both
032024	0.6	Both	intermediate	108	11938	550	032024_0.6mM_Both
032024	0.6	Both	live	11361	4296	192	032024_0.6mM_Both
032024	0.6	PI	singlet	11665	100	60	032024_0.6mM_PI
032024	0.6	PI	intermediate	0	NA	NA	032024_0.6mM_PI
032024	0.6	PI	live	11301	101	60	032024_0.6mM_PI
032024	1000	Both	singlet	10942	1230	2071	032024_1M_Both
032024	1000	Both	intermediate	7	5267	724	032024_1M_Both
032024	1000	Both	live	349	509	103	032024_1M_Both
032024	1000	PI	singlet	8700	72	1753.5	032024_1M_PI
032024	1000	PI	intermediate	0	NA	NA	032024_1M_PI
032024	1000	PI	live	501	73	67	032024_1M_PI
032024	6	Both	singlet	11839	6064	243	032024_6mM_Both
032024	6	Both	intermediate	734	17430.5	585	032024_6mM_Both
032024	6	Both	live	10856	5828	229	032024_6mM_Both
032024	6	PI	singlet	12085	82	60	032024_6mM_PI
032024	6	PI	intermediate	0	NA	NA	032024_6mM_PI
032024	6	PI	live	11926	82	60	032024_6mM_PI
032324	0	Both	singlet	15736	5619	243	032324_0mM_Both
032324	0	Both	intermediate	714	15318	565.5	032324_0mM_Both
032324	0	Both	live	14966	5431.5	236	032324_0mM_Both
032324	0	PI	singlet	16191	81	59	032324_0mM_PI
032324	0	PI	intermediate	0	NA	NA	032324_0mM_PI
032324	0	PI	live	16153	81	59	032324_0mM_PI
032324	0.6	Both	singlet	11680	2978	125	032324_0.6mM_Both
032324	0.6	Both	intermediate	109	12142	559	032324_0.6mM_Both
032324	0.6	Both	live	11458	2963.5	123	032324_0.6mM_Both
032324	0.6	PI	singlet	11202	100	60	032324_0.6mM_PI
032324	0.6	PI	intermediate	0	NA	NA	032324_0.6mM_PI
032324	0.6	PI	live	11116	100	60	032324_0.6mM_PI
032324	1000	Both	singlet	12668	1257	2398	032324_1M_Both
032324	1000	Both	intermediate	0	NA	NA	032324_1M_Both
032324	1000	Both	live	15	485	332	032324_1M_Both
032324	1000	PI	singlet	12763	73	1923	032324_1M_PI
032324	1000	PI	intermediate	0	NA	NA	032324_1M_PI
032324	1000	PI	live	74	74	191.5	032324_1M_PI
032324	6	Both	singlet	12630	5504	217	032324_6mM_Both
032324	6	Both	intermediate	469	17464	591	032324_6mM_Both
032324	6	Both	live	11654	5449	205	032324_6mM_Both
032324	6	PI	singlet	12095	82	60	032324_6mM_PI
032324	6	PI	intermediate	0	NA	NA	032324_6mM_PI
032324	6	PI	live	11619	83	59	032324_6mM_PI
