Date	Treatment	total_event_count	p_live	p_intermediate	p_dead
032524	0.02	18330	0.9663938897981451	0.01783960720130933	0.01303873431533006
032524	0.04	18154	0.9445852153795307	0.0029194667841797952	0.03613528698909331
032524	0.06	19173	0.5101966306785584	0.409377770823554	0.08032128514056225
032524	0.08	19269	0.05999273444392548	0.7139446779801754	0.22606258757589912
032524	0.1	19639	0.02525586842507256	0.6712154386679566	0.30291766383217067
032524	0	18157	0.8948614859282921	0.059866718070165775	0.04025995483835435
032524	1	17865	0.005149734116988525	0.02339770500979569	0.9701651273439686
032624	0.02	17669	0.9923029033901183	0.0023770445412869996	0.005263455769992643
032624	0.04	19564	0.9906460846452668	0.002913514618687385	0.0057248006542629315
032624	0.06	18453	0.8558499972904134	0.07137050886034792	0.07277949384923861
032624	0.08	18851	0.8244124980107156	0.0892260357540714	0.0862023234841653
032624	0.1	17553	0.6068478322793824	0.27374238021990543	0.11935281718224805
032624	0	18559	0.9474109596422221	0.04876340320060348	0.003825637157174417
032624	1	18051	0.002382139493656861	0.009196166417373	0.9883662954960944
032824	0.02	16734	0.9538066212501494	0.004541651727022828	0.04159196844747221
032824	0.04	17762	0.9885148068911158	0.0018015989190406487	0.009627294223623465
032824	0.06	17666	0.9328653911468358	0.03322766896864032	0.033850333974866975
032824	0.08	17805	0.7275484414490312	0.1792193204156136	0.09317607413647852
032824	0.1	18270	0.7056376573617953	0.19578544061302683	0.09857690202517788
032824	0	16820	0.8626040428061831	0.09678953626634959	0.0406064209274673
032824	1	18923	0.0030122073666966126	0.015748031496062992	0.981186915393965
032924	0.02	18219	0.9749162961743235	0.013721938635490422	0.011251989681102146
032924	0.04	18318	0.9683371547112131	0.018779342723004695	0.01288350256578229
032924	0.06	17521	0.8139375606415159	0.1213401061583243	0.06472233320015981
032924	0.08	19134	0.21866833908226194	0.6165987247831086	0.1646806731472771
032924	0.1	18452	0.03094515499674832	0.5129525254714936	0.45610231953175806
032924	0	18312	0.9697466142420271	0.02599388379204893	0.004259501965923985
032924	1	18344	0.002017008286088094	0.0014718709114696904	0.9965111208024422
