Date	Species	Treatment	Group	Dilution	Raw_count	CFU	p_live
032524	Cg	0	MM	1000	100	100000	1
032524	Cg	0.02	MO	100	648	64800	0.648
032524	Cg	0.04	MO	100	654	65400	0.654
032524	Cg	0.06	MO	100	315	31500	0.315
032524	Cg	0.08	MO	100	37	3700	0.037
032524	Cg	0.1	MO	100	22	2200	0.022
032524	Cg	1	MO	100	0	0	0
032624	Cg	0	MM	1000	70	70000	1
032624	Cg	0.02	MO	100	666	66600	0.9514285714285714
032624	Cg	0.04	MO	100	600	60000	0.8571428571428571
032624	Cg	0.06	MO	100	430	43000	0.6142857142857143
032624	Cg	0.08	MO	100	357	35700	0.51
032624	Cg	0.1	MO	100	179	17900	0.2557142857142857
032624	Cg	1	MO	100	0	0	0
032824	Cg	0	MM	1000	98	98000	1
032824	Cg	0.02	MO	100	614	61400	0.6265306122448979
032824	Cg	0.04	MO	100	718	71800	0.7326530612244898
032824	Cg	0.06	MO	100	540	54000	0.5510204081632653
032824	Cg	0.08	MO	100	310	31000	0.3163265306122449
032824	Cg	0.1	MO	100	215	21500	0.2193877551020408
032824	Cg	1	MO	100	0	0	0
032924	Cg	0	MM	1000	71	71000	1
032924	Cg	0.02	MO	100	728	72800	1.0253521126760563
032924	Cg	0.04	MO	100	612	61200	0.8619718309859155
032924	Cg	0.06	MO	100	331	33100	0.46619718309859154
032924	Cg	0.08	MO	100	79	7900	0.11126760563380282
032924	Cg	0.1	MO	100	4	400	0.005633802816901409
032924	Cg	1	MO	100	0	0	0
