Date	Treatment	pop	count	Fungalight Green-H	Fungalight Red-H	sample
032524	0.02	singlet	18330	543	66	032524_0.02
032524	0.02	live	17714	535	65	032524_0.02
032524	0.02	intermediate	327	6013	188	032524_0.02
032524	0.02	dead	239	1301	1294	032524_0.02
032524	0.04	singlet	18154	563	68	032524_0.04
032524	0.04	live	17148	575	67	032524_0.04
032524	0.04	intermediate	53	4052	188	032524_0.04
032524	0.04	dead	656	484.5	523	032524_0.04
032524	0.06	singlet	19173	2547	103	032524_0.06
032524	0.06	live	9782	117	63	032524_0.06
032524	0.06	intermediate	7849	6903	206	032524_0.06
032524	0.06	dead	1540	3025.5	2309	032524_0.06
032524	0.08	singlet	19269	13682	555	032524_0.08
032524	0.08	live	1156	84	60	032524_0.08
032524	0.08	intermediate	13757	15743	479	032524_0.08
032524	0.08	dead	4356	5269	3664.5	032524_0.08
032524	0.1	singlet	19639	14883	706	032524_0.1
032524	0.1	live	496	73	58	032524_0.1
032524	0.1	intermediate	13182	17600	537	032524_0.1
032524	0.1	dead	5949	4664	3932	032524_0.1
032524	0	singlet	18157	1628	89	032524_0
032524	0	live	16248	1597	84	032524_0
032524	0	intermediate	1087	3697	153	032524_0
032524	0	dead	731	631	584	032524_0
032524	1	singlet	17865	3253	3269	032524_1
032524	1	live	92	190	146	032524_1
032524	1	intermediate	418	25715	1101.5	032524_1
032524	1	dead	17332	3219.5	3318	032524_1
032624	0.02	singlet	17669	390	63	032624_0.02
032624	0.02	live	17533	387	62	032624_0.02
032624	0.02	intermediate	42	5403.5	215	032624_0.02
032624	0.02	dead	93	2856	2477	032624_0.02
032624	0.04	singlet	19564	306	62	032624_0.04
032624	0.04	live	19381	304	61	032624_0.04
032624	0.04	intermediate	57	4569	171	032624_0.04
032624	0.04	dead	112	2439.5	2000.5	032624_0.04
032624	0.06	singlet	18453	366	68	032624_0.06
032624	0.06	live	15793	269	63	032624_0.06
032624	0.06	intermediate	1317	4365	141	032624_0.06
032624	0.06	dead	1343	1927	1706	032624_0.06
032624	0.08	singlet	18851	345	69	032624_0.08
032624	0.08	live	15541	208	63	032624_0.08
032624	0.08	intermediate	1682	4436	139	032624_0.08
032624	0.08	dead	1625	1999	1785	032624_0.08
032624	0.1	singlet	17553	1778	87	032624_0.1
032624	0.1	live	10652	149	65	032624_0.1
032624	0.1	intermediate	4805	4940	151	032624_0.1
032624	0.1	dead	2095	2609	2058	032624_0.1
032624	0	singlet	18559	1552	82	032624_0
032624	0	live	17583	1510	80	032624_0
032624	0	intermediate	905	3703	153	032624_0
032624	0	dead	71	3545	2435	032624_0
032624	1	singlet	18051	2922	2995	032624_1
032624	1	live	43	372	69	032624_1
032624	1	intermediate	166	23088	1402	032624_1
032624	1	dead	17841	2909	3013	032624_1
032824	0.02	singlet	16734	859	69	032824_0.02
032824	0.02	live	15961	837	68	032824_0.02
032824	0.02	intermediate	76	3856	162.5	032824_0.02
032824	0.02	dead	696	1464	608	032824_0.02
032824	0.04	singlet	17762	408	63	032824_0.04
032824	0.04	live	17558	404	62	032824_0.04
032824	0.04	intermediate	32	6216.5	256.5	032824_0.04
032824	0.04	dead	171	2690	1917	032824_0.04
032824	0.06	singlet	17666	296	64	032824_0.06
032824	0.06	live	16480	275	62	032824_0.06
032824	0.06	intermediate	587	5248	161	032824_0.06
032824	0.06	dead	598	2115.5	1734	032824_0.06
032824	0.08	singlet	17805	446	75	032824_0.08
032824	0.08	live	12954	145	63	032824_0.08
032824	0.08	intermediate	3191	5311	163	032824_0.08
032824	0.08	dead	1659	2665	2062	032824_0.08
032824	0.1	singlet	18270	592	76	032824_0.1
032824	0.1	live	12892	124	63	032824_0.1
032824	0.1	intermediate	3577	5083	157	032824_0.1
032824	0.1	dead	1801	2250	1833	032824_0.1
032824	0	singlet	16820	1760	90	032824_0
032824	0	live	14509	1667	85	032824_0
032824	0	intermediate	1628	3835.5	154	032824_0
032824	0	dead	683	1545	617	032824_0
032824	1	singlet	18923	2515	2597	032824_1
032824	1	live	57	510	66	032824_1
032824	1	intermediate	298	18476	978.5	032824_1
032824	1	dead	18567	2496	2615	032824_1
032924	0.02	singlet	18219	250	62	032924_0.02
032924	0.02	live	17762	243	61	032924_0.02
032924	0.02	intermediate	250	4910	155.5	032924_0.02
032924	0.02	dead	205	2406	1926	032924_0.02
032924	0.04	singlet	18318	208	62	032924_0.04
032924	0.04	live	17738	202	61	032924_0.04
032924	0.04	intermediate	344	4642.5	149	032924_0.04
032924	0.04	dead	236	2284	1853	032924_0.04
032924	0.06	singlet	17521	478	72	032924_0.06
032924	0.06	live	14261	265	65	032924_0.06
032924	0.06	intermediate	2126	4669	147	032924_0.06
032924	0.06	dead	1134	1904	1616.5	032924_0.06
032924	0.08	singlet	19134	5184.5	187	032924_0.08
032924	0.08	live	4184	171.5	69	032924_0.08
032924	0.08	intermediate	11798	6676.5	197	032924_0.08
032924	0.08	dead	3151	3309	2304	032924_0.08
032924	0.1	singlet	18452	7947	808	032924_0.1
032924	0.1	live	571	152	68	032924_0.1
032924	0.1	intermediate	9465	10542	308	032924_0.1
032924	0.1	dead	8416	3822	3084	032924_0.1
032924	0	singlet	18312	1381	77	032924_0
032924	0	live	17758	1357	76	032924_0
032924	0	intermediate	476	3589.5	143	032924_0
032924	0	dead	78	3156	2509.5	032924_0
032924	1	singlet	18344	2241	2641	032924_1
032924	1	live	37	219	71	032924_1
032924	1	intermediate	27	17957	726	032924_1
032924	1	dead	18280	2242	2645	032924_1
