Date	Treatment	Dye	pop	count	Fungalight Green-H	Fungalight Red-H	sample
021424	0	Both	singlet	19506	230	62	021424_0mM_Both
021424	0	Both	intermediate	54	12162	556.5	021424_0mM_Both
021424	0	Both	live	19317	228	61	021424_0mM_Both
021424	100	Both	singlet	19398	6261.5	193	021424_100mM_Both
021424	100	Both	intermediate	10790	9971	291	021424_100mM_Both
021424	100	Both	live	8230	150	71	021424_100mM_Both
021424	1000	Both	singlet	19824	638	944	021424_1000mM_Both
021424	1000	Both	intermediate	1	8777	203	021424_1000mM_Both
021424	1000	Both	live	15	197	107	021424_1000mM_Both
021624	0	Both	singlet	19295	844	69	021624_0mM_Both
021624	0	Both	intermediate	152	3128.5	174.5	021624_0mM_Both
021624	0	Both	live	19070	833	69	021624_0mM_Both
021624	100	Both	singlet	19702	3221.5	108	021624_100mM_Both
021624	100	Both	intermediate	4791	6494	204	021624_100mM_Both
021624	100	Both	live	14184	2395	86	021624_100mM_Both
021624	1000	Both	singlet	19173	1122	1372	021624_1000mM_Both
021624	1000	Both	intermediate	2	6663.5	199.5	021624_1000mM_Both
021624	1000	Both	live	27	794	63	021624_1000mM_Both
021724	0	Both	singlet	18130	2690	118	021724_0mM_Both
021724	0	Both	intermediate	4955	5059	203	021724_0mM_Both
021724	0	Both	live	13094	2232	99	021724_0mM_Both
021724	100	Both	singlet	18879	4541	139	021724_100mM_Both
021724	100	Both	intermediate	7677	7404	223	021724_100mM_Both
021724	100	Both	live	10874	2647	91	021724_100mM_Both
021724	1000	Both	singlet	18148	2507	2037	021724_1000mM_Both
021724	1000	Both	intermediate	1	1537	208	021724_1000mM_Both
021724	1000	Both	live	7	191	47	021724_1000mM_Both
